incoming_credential_string,outgoing_credential_string
DVM,DVM
VMD,VMD
BVSCAH,BVSCAH
CAC,CAC
CVA,CVA
DACVD,DACVD
DDS,DDS
DMD,DMD
PHARMD,PHARMD
PSYD,PSYD
DPT,DPT
DC,DC
OD,OD
DPM,DPM
AUD,AUD
DNP,DNP
ND,ND
OTD,OTD
NMD,NMD
OMD,OMD
BHMS,BHMS
CCH,CCH
DHANP,DHANP
DHT,DHT
DNBHE,DNBHE
RS HOM,RS HOM
CCSP,CCSP
DACBN,DACBN
CSPOMM,CSPOMM
AOBSPOMM,AOBSPOMM
CAAPM,CAAPM
DAAPM,DAAPM
DBA,DBA
DED,DED
PHE,PHE
PHD,PHD
PHS,PHS
JD,JD
CRNA,CRNA
FNP,FNP
PA-C,PA-C
PA,PA
APRN-CNP,APRN-CNP
NP,NP
ARNP,ARNP
CRNP,CRNP
FNP-BC,FNP-BC
NP-C,NP-C
CNP,CNP
CNM,CNM
APN,APN
PMHNP,PMHNP
PMHNP-BC,PMHNP-BC
PAC,PAC
CPNP,CPNP
ANP,ANP
APNP,APNP
PNP,PNP
AGACNP-BC,AGACNP-BC
RPA-C,RPA-C
ACNP,ACNP
NNP,NNP
WHNP,WHNP
CPNP-PC,CPNP-PC
CFNP,CFNP
AGPCNP-BC,AGPCNP-BC
AGNP,AGNP
WHNP-BC,WHNP-BC
PA-S,PA-S
NNP-BC,NNP-BC
ANP-BC,ANP-BC
ACNP-BC,ACNP-BC
MPAS,MPAS
CPNP-AC,CPNP-AC
AGPCNP,AGPCNP
RNP,RNP
AG-ACNP,AG-ACNP
ARNP-C,ARNP-C
ANP-C,ANP-C
RPA,RPA
FAAPA,FAAPA
EDD,EDD
DPH,DPH
MS,MS
MPH,MPH
MA,MA
MBA,MBA
MSW,MSW
MSED,MSED
MED,MED
MPA,MPA
MHA,MHA
MASTERS,MASTERS
BA,BA
BS,BS
BSW,BSW
AA,AA
CPA,CPA
CSFA,CSFA
HIS,HIS
CEO,CEO
LNHA,LNHA
AO,AO
CRM,CRM
NHA,NHA
ADMINISTRATOR,ADMINISTRATOR
STUDENT,STUDENT
CMP,CMP
ESQ,ESQ
AAS,AAS
RN,RN
LPN,LPN
LVN,LVN
CNA,CNA
RNFA,RNFA
BSN,BSN
STNA,STNA
MSN,MSN
NURSE,NURSE
GNP-BC,GNP-BC
PPCNP-BC,PPCNP-BC
SNP-BC,SNP-BC
ADM-BC,ADM-BC
ENP-BC,ENP-BC
AGCNS-BC,AGCNS-BC
ACNS-BC,ACNS-BC
PMHCNS-BC,PMHCNS-BC
GCNS-BC,GCNS-BC
HHCNS-BC,HHCNS-BC
PCNS-BC,PCNS-BC
PHCNS-BC,PHCNS-BC
CNS-BC,CNS-BC
AMB-BC,AMB-BC
CV-BC,CV-BC
GERO-BC,GERO-BC
NI-BC,NI-BC
MEDSURG-BC,MEDSURG-BC
NE-BC,NE-BC
NEA-BC,NEA-BC
CMGT-BC,CMGT-BC
NPD-BC,NPD-BC
PMGT-BC,PMGT-BC
PED-BC,PED-BC
PMH-BC,PMH-BC
CCCTM,CCCTM
AFN-BC,AFN-BC
AGN-BC,AGN-BC
PHNA-BC,PHNA-BC
RN-BC,RN-BC
NHDP-BC,NHDP-BC
FNP-C,FNP-C
AGNP-C,AGNP-C
ENP-C,ENP-C
PMHNP-C,PMHNP-C
CPN,CPN
PMHS,PMHS
