medicare_specialty_code,medicare_speciality_code_desc
79,ADDICTION MEDICINE
48,PODIATRY
27,GERIATRIC PSYCHIATRY
58,MEDICAL SUPPLY COMPANY WITH REGISTERED PHARMACIST
32,ANESTHESIOLOGY ASSISTANT
72,INTERVENTIONAL PAIN MANAGEMENT
66,RHEUMATOLOGY
33,THORACIC SURGERY
20,ORTHOPEDIC/ORTHOPEDIC SURGERY
C0,SLEEP LABORATORY/MEDICINE
92,RADIATION ONCOLOGY
42,CERTIFIED NURSE MIDWIFE (CNM)
43,CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA)
93,EMERGENCY MEDICINE
29,PULMONARY DISEASE
34,UROLOGY
06,CARDIOLOGY
B2,PEDORTHIC PERSONNEL
65,PHYSICAL THERAPIST IN PRIVATE PRACTICE
15,QUALIFIED SPEECH LANGUAGE PATHOLOGIST
85,MAXILLOFACIAL SURGERY
19,DENTIST
97,PHYSICIAN ASSISTANT
35,CHIROPRACTIC
83,HEMATOLOGY/ONCOLOGY
E3,DENTAL ANESTHESIOLOGY
A0,HOSPITAL
C8,MEDICAL TOXICOLOGY
96,OPTICIAN
A2,NURSING FACILITY INTERMEDIATE CARE
82,HEMATOLOGY
C5,DENTIST
30,DIAGNOSTIC RADIOLOGY
86,NEUROPSYCHIATRY
17,HOSPICE/PALLIATIVE CARE
B1,OXYGEN & EQUIPMENT
77,VASCULAR SURGERY
A6,MEDICAL SUPPLY COMPANY WITH RESPIRATORY THERAPIST
40,HAND SURGERY
F3,PEDIATRIC DENTISTRY
81,CRITICAL CARE (INTENSIVISTS)
64,QUALIFIED AUDIOLOGIST
62,PSYCHOLOGIST BILLING INDEPENDENTLY
39,NEPHROLOGY
F6,EPILEPTOLOGISTS
16,OBSTETRICS/GYNECOLOGY
E7,ORAL AND MAXILLOFACIAL RADIOLOGY
A7,DEPARTMENT STORE
88,OTHER (NON-PHYSICIAN)
F2,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS
E2,MENTAL HEALTH COUNSELOR
C0,SLEEP MEDICINE
19,ORAL SURGERY
89,CERTIFIED CLINICAL NURSE SPECIALIST (CNS)
E5,ENDODONTICS
71,REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL
D8,ADULT CONGENITAL HEART DISEASE (ACHD)
78,CARDIAC SURGERY
50,NURSE PRACTITIONER
54,MEDICAL SUPPLY COMPANY
84,PREVENTIVE MEDICINE
37,PEDIATRIC MEDICINE
51,MEDICAL SUPPLY COMPANY WITH ORTHOTIC PERSONNEL
98,GYNECOLOGICAL ONCOLOGY
F1,OROFACIAL PAIN
A9,INDIAN HEALTH SERVICE OR TRIBAL FACILITY
C9,HEMATOPOIETIC CELL TRANSPLANTATION AND CELLULAR THERAPY
08,FAMILY PRACTICE
24,PLASTIC AND RECONSTRUCTIVE SURGERY
67,OCCUPATIONAL THERAPIST IN PRIVATE PRACTICE
49,AMBULATORY SURGICAL CENTER
41,OPTOMETRY
09,INTERVENTIONAL PAIN MANAGEMENT
04,OTOLARYNGOLOGY
99,UNKNOWN PHYSICIAN SPECIALTY
F4,PERIODONTICS
73,MASS IMMUNIZATION ROSTER BILLER
B3,MEDICAL SUPPLY COMPANY WITH PEDORTHIC PERSONNEL
20,ORTHOPEDIC SURGERY
11,INTERNAL MEDICINE
02,GENERAL SURGERY
28,COLORECTAL SURGERY (PROCTOLOGY)
C3,INTERVENTIONAL CARDIOLOGY
91,SURGICAL ONCOLOGY
03,ALLERGY/IMMUNOLOGY
A8,GROCERY STORE
C7,ADVANCED HEART FAILURE AND TRANSPLANT CARDIOLOGY
26,PSYCHIATRY
44,INFECTIOUS DISEASE
22,PATHOLOGY
87,OTHER
68,CLINICAL PSYCHOLOGIST
12,OSTEOPATHIC MANIPULATIVE MEDICINE
76,PERIPHERAL VASCULAR DISEASE
28,COLORECTAL SURGERY (FORMERLY PROCTOLOGY)
A4,HOME HEALTH AGENCY
67,INDEPENDENTLY-PRACTICING OCCUPATIONAL THERAPIST
C6,HOSPITALIST
A5,PHARMACY
52,MEDICAL SUPPLY COMPANY WITH PROSTHETIC PERSONNEL
90,MEDICAL ONCOLOGY
36,NUCLEAR MEDICINE
21,CARDIAC ELECTROPHYSIOLOGY
07,DERMATOLOGY
23,SPORTS MEDICINE
94,INTERVENTIONAL RADIOLOGY
B5,OCULARIST
A1,NURSING FACILITY
25,PHYSICAL MEDICINE AND REHABILITATION
F5,PROSTHODONTICS
13,NEUROLOGY
55,ORTHOTIC PERSONNEL
41,OPTOMETRIST
E1,MARRIAGE AND FAMILY THERAPIST
57,CERTIFIED ORTH/PROS/PEDORTHIST
46,ENDOCRINOLOGY
06,CARDIOVASCULAR DISEASE (CARDIOLOGY)
D3,MEDICAL GENETICS AND GENOMICS
65,INDEPENDENTLY-PRACTICING PHYSICAL THERAPIST
99,OTHER (PHYSICIAN)
D4,UNDERSEA AND HYPERBARIC MEDICINE
18,OPHTHALMOLOGY
38,GERIATRIC MEDICINE
56,PROSTHETIC PERSONNEL
E6,ORAL AND MAXILLOFACIAL PATHOLOGY
72,PAIN MANAGEMENT
14,NEUROSURGERY
88,UNKNOWN SUPPLIER/PROVIDER
70,PHYSICIAN
E9,ORAL MEDICINE
53,MEDICAL SUPPLY COMPANY WITH ORTHOTIC-PROSTHETIC
B4,REHABILITATION AGENCY
25,PHYSICAL AND REHABILITATION
10,GASTROENTEROLOGY
01,GENERAL PRACTICE
80,CLINICAL SOCIAL WORKER
D7,MICROGRAPHIC DERMATOLOGIC SURGERY (MDS)
43,CERTIFIED REGISTERED NURSE ANESTHETISTS
05,ANESTHESIOLOGY
