provider_type_cd,provider_type_desc,medicare_specialty_code,medicare_speciality_code_desc,id
14-01,PRACTITIONER - GENERAL PRACTICE,01,GENERAL PRACTICE,1
14-02,PRACTITIONER - GENERAL SURGERY,02,GENERAL SURGERY,2
14-03,PRACTITIONER - ALLERGY/IMMUNOLOGY,03,ALLERGY/IMMUNOLOGY,3
14-04,PRACTITIONER - OTOLARYNGOLOGY,04,OTOLARYNGOLOGY,4
14-05,PRACTITIONER - ANESTHESIOLOGY,05,ANESTHESIOLOGY,5
14-06,PRACTITIONER - CARDIOVASCULAR DISEASE (CARDIOLOGY),06,CARDIOVASCULAR DISEASE (CARDIOLOGY),6
14-07,PRACTITIONER - DERMATOLOGY,07,DERMATOLOGY,7
14-08,PRACTITIONER - FAMILY PRACTICE,08,FAMILY PRACTICE,8
14-09,PRACTITIONER - INTERVENTIONAL PAIN MANAGEMENT,09,INTERVENTIONAL PAIN MANAGEMENT,9
14-10,PRACTITIONER - GASTROENTEROLOGY,10,GASTROENTEROLOGY,10
14-11,PRACTITIONER - INTERNAL MEDICINE,11,INTERNAL MEDICINE,11
14-12,PRACTITIONER - OSTEOPATHIC MANIPULATIVE MEDICINE,12,OSTEOPATHIC MANIPULATIVE MEDICINE,12
14-13,PRACTITIONER - NEUROLOGY,13,NEUROLOGY,13
14-14,PRACTITIONER - NEUROSURGERY,14,NEUROSURGERY,14
14-15,PRACTITIONER - QUALIFIED SPEECH LANGUAGE PATHOLOGIST,15,QUALIFIED SPEECH LANGUAGE PATHOLOGIST,15
14-16,PRACTITIONER - OBSTETRICS/GYNECOLOGY,16,OBSTETRICS/GYNECOLOGY,16
14-17,PRACTITIONER - HOSPICE/PALLIATIVE CARE,17,HOSPICE/PALLIATIVE CARE,17
14-18,PRACTITIONER - OPHTHALMOLOGY,18,OPHTHALMOLOGY,18
14-19,PRACTITIONER - ORAL SURGERY,19,ORAL SURGERY,19
14-20,PRACTITIONER - ORTHOPEDIC SURGERY,20,ORTHOPEDIC SURGERY,20
14-21,PRACTITIONER - CARDIAC ELECTROPHYSIOLOGY,21,CARDIAC ELECTROPHYSIOLOGY,21
