Code,Grouping,Classification,Specialization,Definition,Notes,Display Name,Section
363L00000X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,,"(1) A registered nurse provider with a graduate degree in nursing prepared for advanced practice involving independent and interdependent decision making and direct accountability for clinical judgment across the health care continuum or in a certified specialty. (2) A registered nurse who has completed additional training beyond basic nursing education and who provides primary health care services in accordance with state nurse practice laws or statutes. Tasks performed by nurse practitioners vary with practice requirements mandated by geographic, political, economic, and social factors. Nurse practitioner specialists include, but are not limited to, family nurse practitioners, gerontological nurse practitioners, pediatric nurse practitioners, obstetric-gynecologic nurse practitioners, and school nurse practitioners.","Source: (1) American Nurses' Association, American Nurses Credentialing Center, 1996 Certification Catalogue. (2) ) Lexikon: Dictionary of Health Care Terms, Organizations and Acronyms for the Era of Reform, The Joint Commission on Accreditation of Healthcare Organizations, Oakbrook Terrace, Illinois: 1994, p. 549.",Nurse Practitioner,Individual
363LA2100X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,Acute Care,Definition to come...,,Acute Care Nurse Practitioner,Individual
363LA2200X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,Adult Health,Definition to come...,,Adult Health Nurse Practitioner,Individual
363LC1500X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,Community Health,Definition to come...,,Community Health Nurse Practitioner,Individual
363LC0200X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,Critical Care Medicine,Definition to come...,,Critical Care Medicine Nurse Practitioner,Individual
363LF0000X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,Family,Definition to come...,,Family Nurse Practitioner,Individual
363LG0600X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,Gerontology,Definition to come...,,Gerontology Nurse Practitioner,Individual
363LN0000X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,Neonatal,Definition to come...,,Neonatal Nurse Practitioner,Individual
363LN0005X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,"Neonatal, Critical Care",Definition to come...,,Critical Care Neonatal Nurse Practitioner,Individual
363LX0001X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,Obstetrics & Gynecology,Definition to come...,,Obstetrics & Gynecology Nurse Practitioner,Individual
363LX0106X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,Occupational Health,Definition to come...,,Occupational Health Nurse Practitioner,Individual
363LP0200X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,Pediatrics,Definition to come...,,Pediatric Nurse Practitioner,Individual
363LP0222X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,"Pediatrics, Critical Care",Definition to come...,,Critical Care Pediatric Nurse Practitioner,Individual
363LP1700X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,Perinatal,Definition to come...,,Perinatal Nurse Practitioner,Individual
363LP2300X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,Primary Care,Definition to come...,,Primary Care Nurse Practitioner,Individual
363LP0808X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,Psychiatric/Mental Health,Definition to come...,,Psychiatric/Mental Health Nurse Practitioner,Individual
363LS0200X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,School,Definition to come...,,School Nurse Practitioner,Individual
363LW0102X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,Women's Health,Definition to come...,,Women's Health Nurse Practitioner,Individual
