"facetCredentialCode",facetCredentialName,chosenTaxonomyCode,chosenTaxonomyDescription,providerCount
MPT,Master of Physical Therapy,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,73
MS,Master of Science,207Q00000X,FAMILY MEDICINE PHYSICIAN,65
MA,Master of Arts,2084P0800X,PSYCHIATRY PHYSICIAN,61
MS,Master of Science,2084P0800X,PSYCHIATRY PHYSICIAN,56
MS,Master of Science,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,54
MS,Master of Science,204E00000X,ORAL & MAXILLOFACIAL SURGERY (D.M.D.),47
MS,Master of Science,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,42
MSPT,Master of Science in Physical Therapy,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,33
MS,Master of Science,208000000X,PEDIATRICS PHYSICIAN,28
MS,Master of Science,207PS0010X,SPORTS MEDICINE (EMERGENCY MEDICINE) PHYSICIAN,26
MA,Master of Arts,207Q00000X,FAMILY MEDICINE PHYSICIAN,21
MS,Master of Science,207R00000X,INTERNAL MEDICINE PHYSICIAN,21
MS,Master of Science,2083S0010X,SPORTS MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,18
MS,Master of Science,207N00000X,DERMATOLOGY PHYSICIAN,17
MS,Master of Science,2085R0205X,RADIOLOGICAL PHYSICS PHYSICIAN,16
MSW,Master of Social Work,2084P0800X,PSYCHIATRY PHYSICIAN,16
MS,Master of Science,207L00000X,ANESTHESIOLOGY PHYSICIAN,15
MS,Master of Science,207V00000X,OBSTETRICS & GYNECOLOGY PHYSICIAN,15
MPH,Master of Public Health,207Q00000X,FAMILY MEDICINE PHYSICIAN,14
MS,Master of Science,207P00000X,EMERGENCY MEDICINE PHYSICIAN,13
MPH,Master of Public Health,207R00000X,INTERNAL MEDICINE PHYSICIAN,11
MSD,Master of Science in Dentistry,204E00000X,ORAL & MAXILLOFACIAL SURGERY (D.M.D.),11
MS,Master of Science,207X00000X,ORTHOPAEDIC SURGERY PHYSICIAN,10
MS,Master of Science,207ZP0102X,ANATOMIC PATHOLOGY & CLINICAL PATHOLOGY PHYSICIAN,10
MED,Master of Education,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,9
MS,Master of Science,2080P0006X,DEVELOPMENTAL - BEHAVIORAL PEDIATRICS PHYSICIAN,9
MS,Master of Science,208600000X,SURGERY PHYSICIAN,9
MA,Master of Arts,2084P0804X,CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN,8
MS,Master of Science,207SG0203X,CLINICAL MOLECULAR GENETICS PHYSICIAN,8
MS,Master of Science,207Y00000X,OTOLARYNGOLOGY PHYSICIAN,8
MS,Master of Science,2084N0400X,NEUROLOGY PHYSICIAN,8
MA,Master of Arts,207R00000X,INTERNAL MEDICINE PHYSICIAN,7
MPH,Master of Public Health,2083P0901X,PUBLIC HEALTH & GENERAL PREVENTIVE MEDICINE PHYSICIAN,7
MPT,Master of Physical Therapy,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,7
MS,Master of Science,207RC0000X,CARDIOVASCULAR DISEASE PHYSICIAN,7
MS,Master of Science,207RE0101X,"ENDOCRINOLOGY, DIABETES & METABOLISM PHYSICIAN",7
MS,Master of Science,208VP0000X,PAIN MEDICINE PHYSICIAN,7
MA,Master of Arts,208000000X,PEDIATRICS PHYSICIAN,6
MA,Master of Arts,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,6
MS,Master of Science,204C00000X,SPORTS MEDICINE (NEUROMUSCULOSKELETAL MEDICINE) PHYSICIAN,6
MS,Master of Science,207RH0002X,HOSPICE AND PALLIATIVE MEDICINE (INTERNAL MEDICINE) PHYSICIAN,6
MS,Master of Science,207XX0005X,SPORTS MEDICINE (ORTHOPAEDIC SURGERY) PHYSICIAN,6
MS,Master of Science,208D00000X,GENERAL PRACTICE PHYSICIAN,6
MSW,Master of Social Work,207RI0011X,INTERVENTIONAL CARDIOLOGY PHYSICIAN,6
MSW,Master of Social Work,2084P0804X,CHILD & ADOLESCENT PSYCHIATRY PHYSICIAN,6
MA,Master of Arts,207ZP0102X,ANATOMIC PATHOLOGY & CLINICAL PATHOLOGY PHYSICIAN,5
MA,Master of Arts,208D00000X,GENERAL PRACTICE PHYSICIAN,5
MS,Master of Science,207QS0010X,SPORTS MEDICINE (FAMILY MEDICINE) PHYSICIAN,5
MS,Master of Science,2080P0204X,PEDIATRIC EMERGENCY MEDICINE (PEDIATRICS) PHYSICIAN,5
MS,Master of Science,2081P0010X,PEDIATRIC REHABILITATION MEDICINE PHYSICIAN,5
MS,Master of Science,2083X0100X,OCCUPATIONAL MEDICINE PHYSICIAN,5
MSPT,Master of Science in Physical Therapy,2081S0010X,SPORTS MEDICINE (PHYSICAL MEDICINE & REHABILITATION) PHYSICIAN,5
MA,Master of Arts,2083A0300X,ADDICTION MEDICINE (PREVENTIVE MEDICINE) PHYSICIAN,4
MA,Master of Arts,2084A0401X,ADDICTION MEDICINE (PSYCHIATRY & NEUROLOGY) PHYSICIAN,4
MBA,Master of Business Administration,208100000X,PHYSICAL MEDICINE & REHABILITATION PHYSICIAN,4
