﻿"facetCredentialCode","facetCredentialName","chosenTaxonomyCode","chosenTaxonomyDescription","providerCount"
"NP","Nurse Practitioner","207Q00000X","FAMILY MEDICINE PHYSICIAN","5481"
"FNP","Family Nurse Practitioner","207Q00000X","FAMILY MEDICINE PHYSICIAN","2503"
"PT","Physical Therapist","208100000X","PHYSICAL MEDICINE & REHABILITATION PHYSICIAN","2400"
"PA","Physician Assistant","207Q00000X","FAMILY MEDICINE PHYSICIAN","2359"
"CRNA","Certified Registered Nurse Anesthetist","207L00000X","ANESTHESIOLOGY PHYSICIAN","2171"
"DPT","Doctor of Physical Therapy","208100000X","PHYSICAL MEDICINE & REHABILITATION PHYSICIAN","1685"
"PA-C","Physician Assistant Certified","207Q00000X","FAMILY MEDICINE PHYSICIAN","1546"
"FNP-C","Family Nurse Practitioner","207Q00000X","FAMILY MEDICINE PHYSICIAN","1323"
"PA","Physician Assistant","207P00000X","EMERGENCY MEDICINE PHYSICIAN","1063"
"NP","Nurse Practitioner","208000000X","PEDIATRICS PHYSICIAN","861"
"NP","Nurse Practitioner","207R00000X","INTERNAL MEDICINE PHYSICIAN","849"
"NP","Nurse Practitioner","2084P0800X","PSYCHIATRY PHYSICIAN","776"
"PTA","Physical Therapist Assistant","208100000X","PHYSICAL MEDICINE & REHABILITATION PHYSICIAN","733"
"CNA","Certified Nursing Assistant","207L00000X","ANESTHESIOLOGY PHYSICIAN","646"
"DDS","Doctor of Dental Surgery","204E00000X","ORAL & MAXILLOFACIAL SURGERY (D.M.D.)","641"
"PA","Physician Assistant","207N00000X","DERMATOLOGY PHYSICIAN","625"
"PA","Physician Assistant","207R00000X","INTERNAL MEDICINE PHYSICIAN","597"
"FNP-BC","Family Nurse Practitioner Board Certified","207Q00000X","FAMILY MEDICINE PHYSICIAN","585"
"PA","Physician Assistant","207X00000X","ORTHOPAEDIC SURGERY PHYSICIAN","569"
"PA-C","Physician Assistant Certified","207P00000X","EMERGENCY MEDICINE PHYSICIAN","546"
"NP","Nurse Practitioner","207P00000X","EMERGENCY MEDICINE PHYSICIAN","453"
"NP","Nurse Practitioner","208M00000X","HOSPITALIST PHYSICIAN","441"
"PA-C","Physician Assistant Certified","207N00000X","DERMATOLOGY PHYSICIAN","438"
"DMD","Doctor of Medicine in Dentistry","204E00000X","ORAL & MAXILLOFACIAL SURGERY (D.M.D.)","419"
"PA-C","Physician Assistant Certified","207R00000X","INTERNAL MEDICINE PHYSICIAN","394"
