"facetCredentialCode",facetCredentialName,chosenTaxonomyCode,chosenTaxonomyDescription,providerCount
NP,Nurse Practitioner,207Q00000X,FAMILY MEDICINE PHYSICIAN,5481
FNP,Family Nurse Practitioner,207Q00000X,FAMILY MEDICINE PHYSICIAN,2503
FNP-C,Family Nurse Practitioner,207Q00000X,FAMILY MEDICINE PHYSICIAN,1323
NP,Nurse Practitioner,208000000X,PEDIATRICS PHYSICIAN,861
NP,Nurse Practitioner,207R00000X,INTERNAL MEDICINE PHYSICIAN,849
NP,Nurse Practitioner,2084P0800X,PSYCHIATRY PHYSICIAN,776
FNP-BC,Family Nurse Practitioner Board Certified,207Q00000X,FAMILY MEDICINE PHYSICIAN,585
NP,Nurse Practitioner,207P00000X,EMERGENCY MEDICINE PHYSICIAN,453
NP,Nurse Practitioner,208M00000X,HOSPITALIST PHYSICIAN,441
NP,Nurse Practitioner,207V00000X,OBSTETRICS & GYNECOLOGY PHYSICIAN,370
ARNP,Advanced Registered Nurse Practitioner,207Q00000X,FAMILY MEDICINE PHYSICIAN,360
CRNP,Certified Registered Nurse Practitioner,207Q00000X,FAMILY MEDICINE PHYSICIAN,355
NP,Nurse Practitioner,207QA0505X,ADULT MEDICINE PHYSICIAN,342
PMHNP,Psychiatric Mental Health Nurse Practitioner,2084P0800X,PSYCHIATRY PHYSICIAN,335
NP-C,Nurse Practitioner Certified,207Q00000X,FAMILY MEDICINE PHYSICIAN,314
NP,Nurse Practitioner,207RC0000X,CARDIOVASCULAR DISEASE PHYSICIAN,309
PMHNP-BC,Psychiatric Mental Health Nurse Practitioner Board Certified,2084P0800X,PSYCHIATRY PHYSICIAN,299
CNP,Certified Nurse Practitioner,207Q00000X,FAMILY MEDICINE PHYSICIAN,292
NP,Nurse Practitioner,207N00000X,DERMATOLOGY PHYSICIAN,250
NP,Nurse Practitioner,208D00000X,GENERAL PRACTICE PHYSICIAN,229
NP,Nurse Practitioner,207RH0003X,HEMATOLOGY & ONCOLOGY PHYSICIAN,227
FNP,Family Nurse Practitioner,207R00000X,INTERNAL MEDICINE PHYSICIAN,200
CPNP,Certified Pediatric Nurse Practitioner,208000000X,PEDIATRICS PHYSICIAN,198
NP,Nurse Practitioner,2084N0400X,NEUROLOGY PHYSICIAN,196
NP,Nurse Practitioner,2080N0001X,NEONATAL-PERINATAL MEDICINE PHYSICIAN,164
FNP,Family Nurse Practitioner,207P00000X,EMERGENCY MEDICINE PHYSICIAN,161
