"﻿""facetCredentialCode""",facetCredentialName,chosenTaxonomyCode,chosenTaxonomyDescription,providerCount
CRNA,Certified Registered Nurse Anesthetist,207L00000X,ANESTHESIOLOGY PHYSICIAN,2171
CNA,Certified Nursing Assistant,207L00000X,ANESTHESIOLOGY PHYSICIAN,646
CNM,Certified Nurse Midwife,207V00000X,OBSTETRICS & GYNECOLOGY PHYSICIAN,344
DNP,Doctor of Nursing Practice,207Q00000X,FAMILY MEDICINE PHYSICIAN,333
MSN,Master of Science in Nursing,207Q00000X,FAMILY MEDICINE PHYSICIAN,320
RN,Registered Nurse,207Q00000X,FAMILY MEDICINE PHYSICIAN,192
APN,Advanced Practice Nurse,207Q00000X,FAMILY MEDICINE PHYSICIAN,143
RN,Registered Nurse,2084P0800X,PSYCHIATRY PHYSICIAN,109
NURSE,Nurse,207Q00000X,FAMILY MEDICINE PHYSICIAN,105
RN,Registered Nurse,208000000X,PEDIATRICS PHYSICIAN,88
DNP,Doctor of Nursing Practice,207L00000X,ANESTHESIOLOGY PHYSICIAN,85
DNP,Doctor of Nursing Practice,2084P0800X,PSYCHIATRY PHYSICIAN,84
DNP,Doctor of Nursing Practice,208000000X,PEDIATRICS PHYSICIAN,77
MSN,Master of Science in Nursing,208000000X,PEDIATRICS PHYSICIAN,71
RN,Registered Nurse,207R00000X,INTERNAL MEDICINE PHYSICIAN,68
RN,Registered Nurse,2083P0901X,PUBLIC HEALTH & GENERAL PREVENTIVE MEDICINE PHYSICIAN,67
MSN,Master of Science in Nursing,2084P0800X,PSYCHIATRY PHYSICIAN,63
CNM,Certified Nurse Midwife,207VX0000X,OBSTETRICS PHYSICIAN,57
RN,Registered Nurse,207L00000X,ANESTHESIOLOGY PHYSICIAN,53
APN,Advanced Practice Nurse,2084P0800X,PSYCHIATRY PHYSICIAN,52
DNP,Doctor of Nursing Practice,207R00000X,INTERNAL MEDICINE PHYSICIAN,47
RN,Registered Nurse,208D00000X,GENERAL PRACTICE PHYSICIAN,44
MSN,Master of Science in Nursing,207R00000X,INTERNAL MEDICINE PHYSICIAN,39
RN,Registered Nurse,207V00000X,OBSTETRICS & GYNECOLOGY PHYSICIAN,39
DNP,Doctor of Nursing Practice,207V00000X,OBSTETRICS & GYNECOLOGY PHYSICIAN,38
APN,Advanced Practice Nurse,208000000X,PEDIATRICS PHYSICIAN,35
DNP,Doctor of Nursing Practice,207P00000X,EMERGENCY MEDICINE PHYSICIAN,30
DNP,Doctor of Nursing Practice,207QA0505X,ADULT MEDICINE PHYSICIAN,30
CRNA,Certified Registered Nurse Anesthetist,207LP3000X,PEDIATRIC ANESTHESIOLOGY PHYSICIAN,28
MSN,Master of Science in Nursing,207V00000X,OBSTETRICS & GYNECOLOGY PHYSICIAN,28
APN,Advanced Practice Nurse,207R00000X,INTERNAL MEDICINE PHYSICIAN,27
CNS,Certified Nurse Specialist,2084P0800X,PSYCHIATRY PHYSICIAN,27
MSN,Master of Science in Nursing,207QA0505X,ADULT MEDICINE PHYSICIAN,26
CRNA,Certified Registered Nurse Anesthetist,207LP2900X,PAIN MEDICINE (ANESTHESIOLOGY) PHYSICIAN,24
MSN,Master of Science in Nursing,208D00000X,GENERAL PRACTICE PHYSICIAN,24
DNP,Doctor of Nursing Practice,208M00000X,HOSPITALIST PHYSICIAN,23
RN,Registered Nurse,207RC0000X,CARDIOVASCULAR DISEASE PHYSICIAN,22
RN,Registered Nurse,208600000X,SURGERY PHYSICIAN,22
RN,Registered Nurse,207QA0505X,ADULT MEDICINE PHYSICIAN,21
RN,Registered Nurse,207P00000X,EMERGENCY MEDICINE PHYSICIAN,20
DNP,Doctor of Nursing Practice,207N00000X,DERMATOLOGY PHYSICIAN,19
NURSE,Nurse,207R00000X,INTERNAL MEDICINE PHYSICIAN,19
APN,Advanced Practice Nurse,207V00000X,OBSTETRICS & GYNECOLOGY PHYSICIAN,18
BSN,Bachelor of Science in Nursing,207Q00000X,FAMILY MEDICINE PHYSICIAN,18
CRNA,Certified Registered Nurse Anesthetist,207LC0200X,CRITICAL CARE MEDICINE (ANESTHESIOLOGY) PHYSICIAN,18
LPN,Licensed Practical Nurse,207Q00000X,FAMILY MEDICINE PHYSICIAN,18
CNM,Certified Nurse Midwife,207Q00000X,FAMILY MEDICINE PHYSICIAN,17
RNFA,Registered Nurse First Assistant,208600000X,SURGERY PHYSICIAN,17
MSN,Master of Science in Nursing,207RC0000X,CARDIOVASCULAR DISEASE PHYSICIAN,16
MSN,Master of Science in Nursing,207RG0100X,GASTROENTEROLOGY PHYSICIAN,16
MSN,Master of Science in Nursing,2080N0001X,NEONATAL-PERINATAL MEDICINE PHYSICIAN,16
NURSE,Nurse,208000000X,PEDIATRICS PHYSICIAN,16
RN,Registered Nurse,207PE0004X,EMERGENCY MEDICAL SERVICES (EMERGENCY MEDICINE) PHYSICIAN,16
DNP,Doctor of Nursing Practice,207RC0000X,CARDIOVASCULAR DISEASE PHYSICIAN,15
DNP,Doctor of Nursing Practice,208D00000X,GENERAL PRACTICE PHYSICIAN,15
MSN,Master of Science in Nursing,207L00000X,ANESTHESIOLOGY PHYSICIAN,15
NURSE,Nurse,207QA0505X,ADULT MEDICINE PHYSICIAN,15
CNM,Certified Nurse Midwife,207VG0400X,GYNECOLOGY PHYSICIAN,14
LPN,Licensed Practical Nurse,208D00000X,GENERAL PRACTICE PHYSICIAN,14
MSN,Master of Science in Nursing,207P00000X,EMERGENCY MEDICINE PHYSICIAN,14
MSN,Master of Science in Nursing,208M00000X,HOSPITALIST PHYSICIAN,14
RN,Registered Nurse,207RE0101X,"ENDOCRINOLOGY, DIABETES & METABOLISM PHYSICIAN",14
RN,Registered Nurse,207RH0003X,HEMATOLOGY & ONCOLOGY PHYSICIAN,14
CRNA,Certified Registered Nurse Anesthetist,207Q00000X,FAMILY MEDICINE PHYSICIAN,13
MSN,Master of Science in Nursing,207RH0003X,HEMATOLOGY & ONCOLOGY PHYSICIAN,13
APN,Advanced Practice Nurse,207QA0505X,ADULT MEDICINE PHYSICIAN,12
APN,Advanced Practice Nurse,208M00000X,HOSPITALIST PHYSICIAN,12
CNA,Certified Nursing Assistant,207LP2900X,PAIN MEDICINE (ANESTHESIOLOGY) PHYSICIAN,12
CRNA,Certified Registered Nurse Anesthetist,208VP0014X,INTERVENTIONAL PAIN MEDICINE PHYSICIAN,12
DNP,Doctor of Nursing Practice,207RH0003X,HEMATOLOGY & ONCOLOGY PHYSICIAN,12
RN,Registered Nurse,207RN0300X,NEPHROLOGY PHYSICIAN,12
RN,Registered Nurse,207RX0202X,MEDICAL ONCOLOGY PHYSICIAN,12
RN,Registered Nurse,207VX0000X,OBSTETRICS PHYSICIAN,12
RN,Registered Nurse,2084N0400X,NEUROLOGY PHYSICIAN,12
APN,Advanced Practice Nurse,207RC0000X,CARDIOVASCULAR DISEASE PHYSICIAN,11
DNP,Doctor of Nursing Practice,208600000X,SURGERY PHYSICIAN,11
RN,Registered Nurse,207QG0300X,GERIATRIC MEDICINE (FAMILY MEDICINE) PHYSICIAN,11
RN,Registered Nurse,2080N0001X,NEONATAL-PERINATAL MEDICINE PHYSICIAN,11
APN,Advanced Practice Nurse,207P00000X,EMERGENCY MEDICINE PHYSICIAN,10
BSN,Bachelor of Science in Nursing,208000000X,PEDIATRICS PHYSICIAN,10
