"facetCredentialCode",facetCredentialName,chosenTaxonomyCode,chosenTaxonomyDescription,providerCount
PA,Physician Assistant,207Q00000X,FAMILY MEDICINE PHYSICIAN,2359
PA-C,Physician Assistant Certified,207Q00000X,FAMILY MEDICINE PHYSICIAN,1546
PA,Physician Assistant,207P00000X,EMERGENCY MEDICINE PHYSICIAN,1063
PA,Physician Assistant,207N00000X,DERMATOLOGY PHYSICIAN,625
PA,Physician Assistant,207R00000X,INTERNAL MEDICINE PHYSICIAN,597
PA,Physician Assistant,207X00000X,ORTHOPAEDIC SURGERY PHYSICIAN,569
PA-C,Physician Assistant Certified,207P00000X,EMERGENCY MEDICINE PHYSICIAN,546
PA-C,Physician Assistant Certified,207N00000X,DERMATOLOGY PHYSICIAN,438
PA-C,Physician Assistant Certified,207R00000X,INTERNAL MEDICINE PHYSICIAN,394
PA-C,Physician Assistant Certified,207X00000X,ORTHOPAEDIC SURGERY PHYSICIAN,339
PA,Physician Assistant,208M00000X,HOSPITALIST PHYSICIAN,312
PA,Physician Assistant,208600000X,SURGERY PHYSICIAN,295
PA,Physician Assistant,208000000X,PEDIATRICS PHYSICIAN,246
PAC,Physician Assistant Certified,207Q00000X,FAMILY MEDICINE PHYSICIAN,210
PA-C,Physician Assistant Certified,208600000X,SURGERY PHYSICIAN,189
PA-C,Physician Assistant Certified,208M00000X,HOSPITALIST PHYSICIAN,186
PA,Physician Assistant,2084P0800X,PSYCHIATRY PHYSICIAN,173
PA,Physician Assistant,208800000X,UROLOGY PHYSICIAN,163
PA,Physician Assistant,208G00000X,THORACIC SURGERY (CARDIOTHORACIC VASCULAR SURGERY) PHYSICIAN,152
PA,Physician Assistant,207T00000X,NEUROLOGICAL SURGERY PHYSICIAN,147
PA,Physician Assistant,207V00000X,OBSTETRICS & GYNECOLOGY PHYSICIAN,147
PA,Physician Assistant,207RC0000X,CARDIOVASCULAR DISEASE PHYSICIAN,146
PA-C,Physician Assistant Certified,208000000X,PEDIATRICS PHYSICIAN,146
PA-C,Physician Assistant Certified,2084P0800X,PSYCHIATRY PHYSICIAN,145
PA,Physician Assistant,207RG0100X,GASTROENTEROLOGY PHYSICIAN,135
PA-C,Physician Assistant Certified,208800000X,UROLOGY PHYSICIAN,111
PA,Physician Assistant,207RH0003X,HEMATOLOGY & ONCOLOGY PHYSICIAN,108
PAC,Physician Assistant Certified,207P00000X,EMERGENCY MEDICINE PHYSICIAN,107
PA,Physician Assistant,207PE0004X,EMERGENCY MEDICAL SERVICES (EMERGENCY MEDICINE) PHYSICIAN,105
PA,Physician Assistant,208D00000X,GENERAL PRACTICE PHYSICIAN,104
PA,Physician Assistant,2084N0400X,NEUROLOGY PHYSICIAN,102
PA,Physician Assistant,207Y00000X,OTOLARYNGOLOGY PHYSICIAN,100
PA-C,Physician Assistant Certified,207RG0100X,GASTROENTEROLOGY PHYSICIAN,95
PA-C,Physician Assistant Certified,207T00000X,NEUROLOGICAL SURGERY PHYSICIAN,93
PA-C,Physician Assistant Certified,208G00000X,THORACIC SURGERY (CARDIOTHORACIC VASCULAR SURGERY) PHYSICIAN,93
PA-C,Physician Assistant Certified,207V00000X,OBSTETRICS & GYNECOLOGY PHYSICIAN,89
PA,Physician Assistant,208VP0000X,PAIN MEDICINE PHYSICIAN,87
PA,Physician Assistant,207RE0101X,"ENDOCRINOLOGY, DIABETES & METABOLISM PHYSICIAN",80
PA-C,Physician Assistant Certified,2084N0400X,NEUROLOGY PHYSICIAN,77
PA,Physician Assistant,207XX0005X,SPORTS MEDICINE (ORTHOPAEDIC SURGERY) PHYSICIAN,72
PA,Physician Assistant,207RC0200X,CRITICAL CARE MEDICINE (INTERNAL MEDICINE) PHYSICIAN,70
PA,Physician Assistant,207QA0505X,ADULT MEDICINE PHYSICIAN,69
